condition,overview,common_symptoms,when_to_seek_care,source_url,collected_from_query
Cryptosporidiosis,"Cryptosporidiosis or Crypto is an illness caused by a parasite that lives in soil, food and water. Learn the common symptoms and what you should do.",Dehydration; Weight loss; Stomach cramps or pain; Fever; Nausea and vomiting,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/cryptosporidiosis.html,fever nausea
Dengue,Dengue is an infection caused by a virus. You can get it if an infected mosquito bites you. Learn more about risk and prevention.,"A high fever; Nausea and vomiting; Rash; Aches and pains (eye pain, usually behind the eyes, and pain in the muscles, joints, or bones)","Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/dengue.html,fever nausea
Flu Shot,The flu shot causes your body to develop antibodies against influenza viruses. Know more about getting vaccinated against getting the flu.,redness; like other injections,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/flushot.html,fever nausea
Gallbladder Cancer,"Your gallbladder is a pear-shaped organ under your liver. It stores bile, a fluid made by your liver to digest fat. As your stomach and intestines digest food, your gallbladder releases bile through a tube called the common bile duct. The duct connects your gallbladder and liver to your small intestine.
Cancer of the gallbladder is rare. It is more common in women and Native Americans. Symptoms include
Jaundice (yellowing of the skin and whites of the eyes)
Pain above the stomach
It is hard to diagnose gallbladder cancer in its early stages. Sometimes doctors find it when they remove the gallbladder for another reason. But people with gallstones rarely have gallbladder cancer. Because it is often found late, it can be hard to treat gallbladder cancer. Treatment options include surgery, chemotherapy, radiation, or a combination.
NIH: National Cancer Institute",vomitingbloatinglumps in the abdomen it,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/gallbladdercancer.html,fever nausea
Campylobacter Infections,"Campylobacter infection is a common foodborne illness . You usually get it from eating contaminated food, especially raw or undercooked poultry. You can also get it from drinking contaminated water or raw milk, or handling infected animal feces (poop).
Some infected people don't have any symptoms. If you do have symptoms, they start two to five days after you are infected. They usually last about one week, and can include:
Diarrhea (which could be bloody)
Health care providers use stool tests to make a diagnosis. Most people get better without treatment. You should drink extra fluids for as long as the diarrhea lasts. People who have a severe infection or a weakened immune system may need to take antibiotics . In rare cases, the infection can cause reactive arthritis or Guillain-Barre syndrome .
To prevent Campylobacter infection, cook poultry thoroughly. Use a separate cutting board and utensils for meats. Make sure to clean them carefully with soap and hot water after you use them.
Centers for Disease Control and Prevention",,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/campylobacterinfections.html,fever nausea
"<span class=""qt1"">Cold</span> and <span class=""qt0"">Cough</span> Medicines","There are lots of different cold and cough medicines, and they do different things. Learn about different remedies and when you should take them.",what are cold; cough medicines? cold,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/coldandcoughmedicines.html,cough cold
Common Infant and Newborn Problems,"It is hard when your baby is sick. Common health problems in babies include colds, coughs, fevers, and vomiting. Babies also commonly have skin problems, like diaper rash or cradle cap .
Many of these problems are not serious. It is important to know how to help your sick baby, and to know the warning signs for more serious problems. Trust your intuition - if you are worried about your baby, call your health care provider right away.",coughs; fevers; vomiting. babies also commonly have skin,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/commoninfantandnewbornproblems.html,cough cold
"Common <span class=""qt1"">Cold</span>",Common cold symptoms usually begin 2 or 3 days after infection and last 2 to 14 days. There is no cure for the common cold. Learn tips for relief.,Sneezing; Stuffy nose (congestion); Runny nose; Sore throat; Coughing; Headache,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/commoncold.html,cough cold
Over-the-Counter Medicines,"Over-the-counter (OTC) medicines are drugs you can buy without a prescription. Some OTC medicines relieve aches, pains, and itches. Some prevent or cure diseases, like tooth decay and athlete's foot. Others help manage recurring problems, like migraines and allergies.
In the United States, the Food and Drug Administration decides whether a medicine is safe and effective enough to sell over-the-counter. This allows you to take a more active role in your health care. But you also need to be careful to avoid mistakes . Make sure to follow the instructions on the drug label. If you don't understand the instructions, ask your pharmacist or health care provider.
Also keep in mind that that there are still risks to taking OTC medicines:
The medicine you are taking could interact with other medicines, supplements, foods, or drinks
Some medicines are not right for people with certain medical conditions. For example, people with high blood pressure should not take certain decongestants.
Some people are allergic to certain medicines
Many medicines are not safe during pregnancy . If you are pregnant, check with your health care provider before taking any medicine.
Be careful when giving medicines to children . Make sure that you give your child the correct dose. If you are giving your child a liquid medicine, don't use a kitchen spoon. Instead use a measuring spoon or a dosing cup marked in teaspoons.
If you have been taking an OTC medicine but your symptoms don't go away, contact your health care provider. You should not take OTC medicines longer or in higher doses than the label recommends.
Food and Drug Administration",pains; itches. some prevent; cure diseases,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/overthecountermedicines.html,cough cold
Medicines and Children,"Children aren't just small adults. It is especially important to remember this when giving medicines to children. Giving a child the wrong dose or a medicine that is not for children can have serious side effects.
The drug labels for prescription medicines have a section on ""Pediatric Use."" It says whether the medicine has been studied for its effects on children. It also tells you which age groups were studied. Some over-the-counter (OTC) medicines , like those that treat fever and pain, have been studied for effectiveness, safety, or dosing in children. But many other OTC medicines have not. It is important to read the labels carefully, to make sure that the medicine is right for your child.
Here are some other tips for giving medicine safely to your child:
Read and follow the label directions every time. Pay special attention to usage directions and warnings.
Watch out for problems. Contact your health care provider or pharmacist right away if
You notice any new symptoms or unexpected side effects in your child
The medicine doesn't appear to be working when you expect it to. For example, antibiotics may take a few days to start working, but a pain reliever usually starts working soon after your child takes it.
Know the abbreviations for the amounts of medicines:
Use the correct dosing device. If the label says two teaspoons and you're using a dosing cup with ounces only, don't try to guess how many teaspoons it would be. Get the proper measuring device. Don't substitute another item, such as a kitchen spoon.
Check with your health care provider or pharmacist before giving two medicines at the same time. That way, you can avoid a possible overdose or an unwanted interaction.
Follow age and weight limit recommendations. If the label says don't give to children under a certain age or weight, then don't do it.
Always use the child-resistant cap and re-lock the cap after each use. Also, keep all medicines out of the reach of children.
Ask your health care provider or pharmacist if you have any questions.
Food and Drug Administration",a medicine,"Seek medical care if symptoms are severe, worsening, or if you have emergency warning signs such as trouble breathing, chest pain, confusion, or persistent high fever.",https://medlineplus.gov/medicinesandchildren.html,cough cold
